ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,modelo_trabalho,localizacao_empresa,tamanho_empresa,residencia_iso3
2025,Sênior,Tempo Integral,Solutions Engineer,214000,USD,214000,US,Remoto,US,Média,USA
2025,Sênior,Tempo Integral,Solutions Engineer,136000,USD,136000,US,Remoto,US,Média,USA
2025,Pleno,Tempo Integral,Data Engineer,158800,USD,158800,AU,Presencial,AU,Média,AUS
2025,Pleno,Tempo Integral,Data Engineer,139200,USD,139200,AU,Presencial,AU,Média,AUS
2025,Junior,Tempo Integral,Data Engineer,90000,USD,90000,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Engineer,80000,USD,80000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Data Scientist,185000,USD,185000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Data Scientist,148000,USD,148000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Scientist,135000,USD,135000,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,Data Scientist,108000,USD,108000,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,BI Developer,118000,USD,118000,US,Remoto,US,Média,USA
2025,Pleno,Tempo Integral,BI Developer,51000,USD,51000,US,Remoto,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,91900,USD,91900,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,54300,USD,54300,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Applied Scientist,255000,USD,255000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Applied Scientist,190000,USD,190000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Systems Engineer,196350,USD,196350,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Systems Engineer,130900,USD,130900,US,Presencial,US,Média,USA
2025,Executivo,Tempo Integral,Director,170000,USD,170000,US,Presencial,US,Média,USA
2025,Executivo,Tempo Integral,Director,160000,USD,160000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,119000,USD,119000,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,Associate,105000,USD,105000,CA,Presencial,CA,Média,CAN
2025,Pleno,Tempo Integral,Associate,120000,USD,120000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,110000,USD,110000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,120000,USD,120000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,110000,USD,110000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,120000,USD,120000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Associate,110000,USD,110000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Software Engineer,190000,USD,190000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Software Engineer,150000,USD,150000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Consultant,180000,USD,180000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Consultant,130000,USD,130000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Software Engineer,98348,USD,98348,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Software Engineer,88651,USD,88651,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Analyst,122058,USD,122058,AU,Presencial,AU,Média,AUS
2025,Junior,Tempo Integral,Analyst,110266,USD,110266,AU,Presencial,AU,Média,AUS
2025,Sênior,Tempo Integral,Product Manager,160000,USD,160000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Product Manager,100000,USD,100000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Software Developer,199100,USD,199100,JP,Presencial,JP,Média,JPN
2025,Sênior,Tempo Integral,Software Developer,94800,USD,94800,JP,Presencial,JP,Média,JPN
2025,Sênior,Tempo Integral,Engineer,170000,USD,170000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Engineer,130000,USD,130000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Developer,150000,USD,150000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Developer,114000,USD,114000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Data Engineer,54785,GBP,69348,GB,Presencial,GB,Média,GBR
2025,Pleno,Tempo Integral,Data Engineer,42180,GBP,53392,GB,Presencial,GB,Média,GBR
2025,Sênior,Tempo Integral,Data Engineer,104000,USD,104000,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Data Engineer,72800,USD,72800,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Data Analyst,55114,GBP,69764,GB,Presencial,GB,Média,GBR
2025,Sênior,Tempo Integral,Data Analyst,40736,GBP,51564,GB,Presencial,GB,Média,GBR
2025,Junior,Tempo Integral,Data Analyst,324000,MXN,15890,MX,Presencial,MX,Média,MEX
2025,Junior,Tempo Integral,Data Analyst,122870,USD,122870,US,Presencial,US,Média,USA
2025,Junior,Tempo Integral,Data Analyst,94945,USD,94945,US,Presencial,US,Média,USA
2025,Junior,Contrato,Data Analyst,74000,USD,74000,US,Presencial,US,Média,USA
2025,Junior,Contrato,Data Analyst,70000,USD,70000,US,Presencial,US,Média,USA
2025,Pleno,Tempo Integral,Consultant,72000,EUR,75789,NL,Presencial,NL,Média,NLD
2025,Pleno,Tempo Integral,Consultant,36000,EUR,37894,NL,Presencial,NL,Média,NLD
2025,Pleno,Tempo Integral,Data Specialist,32000,EUR,33684,ES,Presencial,ES,Média,ESP
2025,Pleno,Tempo Integral,Data Specialist,28000,EUR,29473,ES,Presencial,ES,Média,ESP
2025,Sênior,Tempo Integral,Manager,160380,USD,160380,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Manager,123930,USD,123930,US,Presencial,US,Média,USA
2025,Sênior,Tempo Integral,Solutions Engineer,170000,USD,170000,US,Presencial,US,Média,USA
